Number,French,English,STATUS,DATE
1,comme,as,0,NA
2,je,I,0,NA
3,son,his,0,NA
4,que,that,0,NA
5,il,he,0,NA
6,était,was,0,NA
7,pour,for,0,NA
8,sur,on,0,NA
9,sont,are,0,NA
10,avec,with,0,NA
11,ils,they,0,NA
12,être,be,0,NA
13,à,at,0,NA
14,un,one,0,NA
15,avoir,have,0,NA
16,ce,this,0,NA
17,à partir de,from,0,NA
18,par,by,0,NA
19,chaud,hot,0,NA
20,mot,word,0,NA
21,mais,but,0,NA
22,que,what,0,NA
23,certains,some,0,NA
24,est,is,0,NA
25,il,it,0,NA
26,vous,you,0,NA
27,ou,or,0,NA
28,eu,had,0,NA
29,la,the,0,NA
30,de,of,0,NA
31,à,to,0,NA
32,et,and,0,NA
33,un,a,0,NA
34,dans,in,0,NA
35,nous,we,0,NA
36,boîte,can,0,NA
37,dehors,out,0,NA
38,autre,other,0,NA
39,étaient,were,0,NA
40,qui,which,0,NA
41,faire,do,0,NA
42,leur,their,0,NA
43,temps,time,0,NA
44,si,if,0,NA
45,volonté,will,0,NA
46,comment,how,0,NA
47,dit,said,0,NA
48,un,an,0,NA
49,chaque,each,0,NA
50,dire,tell,0,NA
51,ne,does,0,NA
52,ensemble,set,0,NA
53,trois,three,0,NA
54,vouloir,want,0,NA
55,air,air,0,NA
56,bien,well,0,NA
57,aussi,also,0,NA
58,jouer,play,0,NA
59,petit,small,0,NA
60,fin,end,0,NA
61,mettre,put,0,NA
62,maison,home,0,NA
63,lire,read,0,NA
64,main,hand,0,NA
65,port,port,0,NA
66,grand,large,0,NA
67,épeler,spell,0,NA
68,ajouter,add,0,NA
69,même,even,0,NA
70,terre,land,0,NA
71,ici,here,0,NA
72,il faut,must,0,NA
73,grand,big,0,NA
74,haut,high,0,NA
75,tel,such,0,NA
76,suivre,follow,0,NA
77,acte,act,0,NA
78,pourquoi,why,0,NA
79,interroger,ask,0,NA
80,hommes,men,0,NA
81,changement,change,0,NA
82,est allé,went,0,NA
